Date,Time,EAR,MAR,Head Position,Phone,Driver Status
15-07-2026,21:24:35,0.259,0.050,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:35,0.270,0.050,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:35,0.277,0.055,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:36,0.273,0.050,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:36,0.261,0.050,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:36,0.246,0.050,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:36,0.243,0.050,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:36,0.251,0.050,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:36,0.160,0.050,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:36,0.144,0.025,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:36,0.121,0.025,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:36,0.106,0.035,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:36,0.102,0.050,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:36,0.093,0.050,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:36,0.145,0.050,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:36,0.156,0.035,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:36,0.169,0.051,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:36,0.172,0.100,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:36,0.150,0.125,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:37,0.166,0.100,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:37,0.161,0.103,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:37,0.164,0.081,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:37,0.144,0.103,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:37,0.166,0.100,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:37,0.166,0.079,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:37,0.151,0.100,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:37,0.166,0.103,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:37,0.151,0.077,LOOKING FORWARD,NO PHONE,DROWSY
15-07-2026,21:24:37,0.173,0.051,LOOKING FORWARD,NO PHONE,DROWSY
15-07-2026,21:24:37,0.180,0.056,LOOKING FORWARD,NO PHONE,DROWSY
15-07-2026,21:24:37,0.176,0.026,LOOKING FORWARD,NO PHONE,DROWSY
15-07-2026,21:24:37,0.165,0.026,LOOKING FORWARD,NO PHONE,DROWSY
15-07-2026,21:24:37,0.154,0.103,LOOKING FORWARD,NO PHONE,DROWSY
15-07-2026,21:24:37,0.151,0.103,LOOKING FORWARD,NO PHONE,DROWSY
15-07-2026,21:24:38,0.155,0.077,LOOKING FORWARD,NO PHONE,DROWSY
15-07-2026,21:24:38,0.159,0.050,LOOKING FORWARD,NO PHONE,DROWSY
15-07-2026,21:24:38,0.169,0.050,LOOKING FORWARD,NO PHONE,DROWSY
15-07-2026,21:24:38,0.177,0.025,LOOKING FORWARD,NO PHONE,DROWSY
15-07-2026,21:24:38,0.200,0.025,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:38,0.208,0.050,LOOKING FORWARD,NO PHONE,ALERT
15-07-2026,21:24:38,0.205,0.073,LOOKING FORWARD,NO PHONE,ALERT
